Installed apps:

Name          Version    Source     Updated             Info
----          -------    ------     -------             ----
alacritty     0.17.0     extras     2026-04-07 08:21:20
bat           0.26.1     main       2026-03-18 14:37:26
bc            1.07.1     main       2026-03-18 14:37:31
cacert        2026-05-14 main       2026-05-14 09:06:02
dark          3.14.1     main       2026-03-18 15:04:57
delta         0.19.2     main       2026-03-30 07:34:26
deno          2.8.3      main       2026-06-12 08:02:17
exiftool      13.59      main       2026-05-27 15:04:28
eza           0.23.4     main       2026-03-18 14:38:21
fd            10.4.2     main       2026-03-18 14:38:26
ffmpeg        8.1.1      main       2026-05-04 12:40:38
gdu           5.36.1     main       2026-04-30 09:15:21
gh            2.94.0     main       2026-06-12 08:02:20
git           2.54.0     main       2026-05-04 13:35:23
Hack-NF       3.4.0      nerd-fonts 2026-05-04 08:39:27
imagemagick   7.1.2-25   main       2026-06-09 09:35:51
innounp       2.67.9     main       2026-05-01 08:47:05
jq            1.8.1      main       2026-03-18 14:46:44
lessmsi       2.12.9     main       2026-04-03 08:10:12
msys2         2026-06-11 main       2026-06-12 08:03:14
openjdk       26-35      java       2026-04-22 12:21:16
pandoc        3.10       main       2026-06-09 09:35:58
python        3.14.6     main       2026-06-10 10:25:14
ripgrep       15.1.0     main       2026-03-18 15:06:05
ruby          4.0.5-1    main       2026-05-21 08:26:22
shellcheck    0.11.0     main       2026-03-18 15:16:14
shfmt         3.13.1     main       2026-04-07 08:20:47
slack         4.50.140   extras     2026-06-16 09:15:39
sublime-text  4-4200     extras     2026-03-18 15:16:30
tickrs        0.15.0     main       2026-04-13 17:52:39
tokei         12.1.2     main       2026-03-31 11:24:34
UbuntuMono-NF 3.4.0      nerd-fonts 2026-05-26 12:38:28
uv            0.11.21    main       2026-06-12 08:03:24
wget          1.21.4     main       2026-03-18 15:17:02
